,err_prob,n_checks,Encoded blocks, source block size, encoded block size,Decoded blocks,valid blocks,Average iterations, bit changes %, Decoding time (milli-seconds),Block counts tot, with chk errs, with src errs, both,Bit error rate (on message bits only),1-BLER,shannon,real_key,eff_key
41,0.03,475,761.0,525.0,1000.0,761.0,761.0,2.2,2.0,0.107,761.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.3306081421684238,0.3306081421684238
42,0.03,500,800.0,500.0,1000.0,800.0,800.0,2.0,2.0,0.097,800.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.3056081421684238,0.3056081421684238
43,0.03,525,842.0,475.0,1000.0,842.0,842.0,1.9,1.0,0.103,842.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.2806081421684238,0.2806081421684238
44,0.03,550,888.0,450.0,1000.0,888.0,888.0,1.8,1.0,0.074,888.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.25560814216842376,0.25560814216842376
45,0.03,575,941.0,425.0,1000.0,941.0,941.0,1.7,1.0,0.084,941.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.23060814216842385,0.23060814216842385
46,0.03,600,1000.0,400.0,1000.0,1000.0,1000.0,1.6,1.0,0.074,1000.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.20560814216842382,0.20560814216842382
47,0.03,625,1066.0,375.0,1000.0,1066.0,1066.0,1.5,1.0,0.08,1066.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.1806081421684238,0.1806081421684238
48,0.03,650,1142.0,350.0,1000.0,1142.0,1142.0,1.5,1.0,0.073,1142.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.15560814216842378,0.15560814216842378
49,0.03,675,1230.0,325.0,1000.0,1230.0,1230.0,1.4,1.0,0.045,1230.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.13060814216842376,0.13060814216842376
50,0.03,700,1333.0,300.0,1000.0,1333.0,1333.0,1.3,1.0,0.071,1333.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.10560814216842385,0.10560814216842385
51,0.03,725,1454.0,275.0,1000.0,1454.0,1454.0,1.3,1.0,0.075,1454.0,0.0,0.0,0.0,0.0,1.0,0.1943918578315762,0.08060814216842382,0.08060814216842382
52,0.04,100,444.0,900.0,1000.0,444.0,0.0,250.0,0.0,8.231,444.0,444.0,444.0,444.0,0.04031,0.0,0.24229218908241482,0.6577078109175852,0.0
53,0.04,125,457.0,875.0,1000.0,457.0,0.0,250.0,0.0,7.85,457.0,457.0,457.0,457.0,0.04032,0.0,0.24229218908241482,0.6327078109175852,0.0
54,0.04,150,470.0,850.0,1000.0,470.0,0.0,250.0,0.0,7.565,470.0,470.0,470.0,470.0,0.04031,0.0,0.24229218908241482,0.6077078109175852,0.0
55,0.04,175,484.0,825.0,1000.0,484.0,0.0,250.0,0.0,7.753,484.0,484.0,484.0,484.0,0.04026,0.0,0.24229218908241482,0.5827078109175852,0.0
56,0.04,200,500.0,800.0,1000.0,500.0,4.0,248.1,0.0,7.243,500.0,496.0,496.0,496.0,0.03921,0.008,0.24229218908241482,0.5577078109175853,0.0044616624873406825
57,0.04,225,516.0,775.0,1000.0,516.0,28.0,237.2,1.0,7.305,516.0,488.0,488.0,488.0,0.0346,0.05426356589147287,0.24229218908241482,0.5327078109175852,0.028906625398628656
58,0.04,250,533.0,750.0,1000.0,533.0,169.0,175.8,2.0,8.152,533.0,364.0,364.0,364.0,0.02334,0.3170731707317073,0.24229218908241482,0.5077078109175852,0.16098052541289287
59,0.04,275,551.0,725.0,1000.0,551.0,350.0,100.3,2.0,0.284,551.0,201.0,201.0,201.0,0.01171,0.6352087114337568,0.24229218908241482,0.4827078109175852,0.3066202065719688
60,0.04,300,571.0,700.0,1000.0,571.0,516.0,32.8,3.0,7.828,571.0,55.0,55.0,55.0,0.003232,0.9036777583187391,0.24229218908241482,0.4577078109175852,0.4136203685349807
61,0.04,325,592.0,675.0,1000.0,592.0,587.0,8.5,3.0,0.211,592.0,5.0,5.0,5.0,0.0003654,0.9915540540540541,0.24229218908241482,0.4327078109175852,0.4290531841361867
62,0.04,350,615.0,650.0,1000.0,615.0,611.0,6.4,3.0,0.216,615.0,4.0,4.0,4.0,0.0001626,0.9934959349593496,0.24229218908241482,0.40770781091758523,0.40505605279779605
63,0.04,375,640.0,625.0,1000.0,640.0,640.0,4.0,3.0,0.139,640.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.3827078109175852,0.3827078109175852
64,0.04,400,666.0,600.0,1000.0,666.0,666.0,3.5,2.0,0.164,666.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.3577078109175852,0.3577078109175852
65,0.04,425,695.0,575.0,1000.0,695.0,695.0,3.2,2.0,0.138,695.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.3327078109175852,0.3327078109175852
66,0.04,450,727.0,550.0,1000.0,727.0,727.0,2.9,2.0,0.101,727.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.3077078109175852,0.3077078109175852
67,0.04,475,761.0,525.0,1000.0,761.0,761.0,2.6,2.0,0.102,761.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.28270781091758523,0.28270781091758523
68,0.04,500,800.0,500.0,1000.0,800.0,800.0,2.5,2.0,0.13,800.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.2577078109175852,0.2577078109175852
69,0.04,525,842.0,475.0,1000.0,842.0,842.0,2.3,2.0,0.1,842.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.2327078109175852,0.2327078109175852
70,0.04,550,888.0,450.0,1000.0,888.0,888.0,2.2,2.0,0.076,888.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.20770781091758517,0.20770781091758517
71,0.04,575,941.0,425.0,1000.0,941.0,941.0,2.0,2.0,0.098,941.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.18270781091758526,0.18270781091758526
72,0.04,600,1000.0,400.0,1000.0,1000.0,1000.0,1.9,2.0,0.107,1000.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.15770781091758523,0.15770781091758523
73,0.04,625,1066.0,375.0,1000.0,1066.0,1066.0,1.8,2.0,0.076,1066.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.1327078109175852,0.1327078109175852
74,0.04,650,1142.0,350.0,1000.0,1142.0,1142.0,1.7,1.0,0.102,1142.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.10770781091758519,0.10770781091758519
75,0.04,675,1230.0,325.0,1000.0,1230.0,1230.0,1.6,1.0,0.044,1230.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.08270781091758517,0.08270781091758517
76,0.04,700,1333.0,300.0,1000.0,1333.0,1333.0,1.5,1.0,0.072,1333.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.057707810917585256,0.057707810917585256
77,0.04,725,1454.0,275.0,1000.0,1454.0,1454.0,1.5,1.0,0.072,1454.0,0.0,0.0,0.0,0.0,1.0,0.24229218908241482,0.032707810917585234,0.032707810917585234
78,0.05,100,444.0,900.0,1000.0,444.0,0.0,250.0,0.0,7.587,444.0,444.0,444.0,444.0,0.05027,0.0,0.28639695711595625,0.6136030428840438,0.0
79,0.05,125,457.0,875.0,1000.0,457.0,0.0,250.0,0.0,10.053,457.0,457.0,457.0,457.0,0.05028,0.0,0.28639695711595625,0.5886030428840437,0.0
80,0.05,150,470.0,850.0,1000.0,470.0,0.0,250.0,0.0,8.261,470.0,470.0,470.0,470.0,0.05027,0.0,0.28639695711595625,0.5636030428840437,0.0
81,0.05,175,484.0,825.0,1000.0,484.0,0.0,250.0,0.0,7.591,484.0,484.0,484.0,484.0,0.05028,0.0,0.28639695711595625,0.5386030428840438,0.0
82,0.05,200,500.0,800.0,1000.0,500.0,0.0,250.0,0.0,7.189,500.0,500.0,500.0,500.0,0.0502,0.0,0.28639695711595625,0.5136030428840437,0.0
83,0.05,225,516.0,775.0,1000.0,516.0,2.0,249.1,0.0,8.122,516.0,514.0,514.0,514.0,0.04937,0.003875968992248062,0.28639695711595625,0.48860304288404377,0.0018938102437366037
84,0.05,250,533.0,750.0,1000.0,533.0,17.0,242.6,1.0,7.493,533.0,516.0,516.0,516.0,0.04496,0.03189493433395872,0.28639695711595625,0.46360304288404375,0.014786588609810025
85,0.05,275,551.0,725.0,1000.0,551.0,104.0,207.1,2.0,7.586,551.0,447.0,447.0,447.0,0.03359,0.18874773139745918,0.28639695711595625,0.4386030428840437,0.08278532932838575
86,0.05,300,571.0,700.0,1000.0,571.0,318.0,119.1,3.0,8.026,571.0,253.0,253.0,253.0,0.01753,0.5569176882661997,0.28639695711595625,0.41360304288404376,0.2303428505028475
